Summary Stats_DPR,Summary Stats_KPR,Detailed Stats_Deaths / round,Role Stats_Firepower_Score,Role Stats_Opening_Win% after opening kill,Role Stats_Clutching_Score,Detailed Stats_Damage / Round,Detailed Stats_Headshot %,Role Stats_Opening_Opening deaths per round,Role Stats_Entrying_Support rounds,Basic Info_Team Name,Role Stats_Sniping_Rounds with sniper kills percentage,Detailed Stats_Assists / round,Role Stats_Sniping_Sniper kills per round,URL,Role Stats_Opening_Opening kills per round,Role Stats_Sniping_Sniper multi-kill rounds,Detailed Stats_Kills / round,Detailed Stats_Rating 1.0,Role Stats_Firepower_Rating 2.0,Role Stats_Opening_Opening success,Detailed Stats_Total kills,Role Stats_Firepower_Rounds with a kill,Detailed Stats_Rating 2.0,Role Stats_Firepower_Rounds with a multi-kill,Detailed Stats_Total deaths,Role Stats_Entrying_Score,Role Stats_Clutching_Clutch points per round,Basic Info_Age,Role Stats_Trading_Trade kills percentage,Role Stats_Clutching_Saves per round loss,Role Stats_Entrying_Saved by teammate per round,Role Stats_Trading_Score,Role Stats_Utility_Utility kills per 100 rounds,Summary Stats_Impact,Role Stats_Entrying_Opening deaths traded percentage,Role Stats_Utility_Flashes thrown per round,Summary Stats_KAST,Role Stats_Firepower_Kills per round,Role Stats_Trading_Assisted kills percentage,Detailed Stats_Saved by teammate / round,Role Stats_Entrying_Traded deaths per round,Role Stats_Entrying_Assists per round,Role Stats_Trading_Trade kills per round,Role Stats_Trading_Damage per kill,Role Stats_Utility_Flash assists per round,Role Stats_Utility_Time opponent flashed per round,Summary Stats_Rating 1.0,Basic Info_Real Name,Summary Stats_ADR,Role Stats_Clutching_1on1 win percentage,Role Stats_Utility_Utility damage per round,Role Stats_Firepower_Pistol round rating,Detailed Stats_Saved teammates / round,Role Stats_Firepower_Damage per round,Detailed Stats_K/D Ratio,Role Stats_Sniping_Sniper kills percentage,Role Stats_Firepower_Kills per round win,Role Stats_Opening_Attacks per round,Role Stats_Firepower_Damage per round win,Role Stats_Sniping_Score,Basic Info_Player Name,Role Stats_Opening_Opening attempts,Role Stats_Utility_Score,Role Stats_Clutching_Time alive per round,Detailed Stats_Rounds played,Role Stats_Sniping_Sniper opening kills per round,Detailed Stats_Grenade dmg / Round,Role Stats_Clutching_Last alive percentage,Detailed Stats_Maps played,Role Stats_Trading_Saved teammate per round,Summary Stats_Rating 2.0,Role Stats_Opening_Score,Role Stats_Entrying_Traded deaths percentage
0.61,0.84,0.61,98/100,74.5%,75/100,87.3,41.3%,0.10,15.3%,Vitality,14.7%,0.13,0.21,https://www.hltv.org/stats/players/11893/zywoo,0.12,0.04,0.84,,1.29,54.6%,29136,50.1%,1.32,20.0%,21011,43/100,0.04,23 years,23.8%,2.0%,0.11,54/100,0.73,1.43,30.3%,0.81,75.4%,0.77,16.1%,0.09,0.15,0.12,0.18,106,0.06,2.12,,Mathieu Herbaut,87.3,77.4%,2.58,1.42,0.12,83.1,1.39,26.9%,1.06,2.41,108.2,86/100,ZywOo,22.3%,61/100,1m 10s,34629,0.03,3.7,12.5%,1334,0.15,1.32,89/100,22.5%
0.63,0.85,0.63,97/100,75.6%,52/100,85.4,41.1%,0.09,10.5%,Natus Vincere,15.5%,0.10,0.18,https://www.hltv.org/stats/players/7998/s1mple,0.11,0.05,0.85,1.24,-,55.3%,38714,51.8%,,21.0%,29045,6/100,0.03,26 years,17.6%,3.8%,0.07,26/100,0.40,1.34,13.5%,0.73,73.9%,0.80,8.1%,0.08,0.09,0.09,0.14,80,0.04,1.96,1.24,Oleksandr Kostyliev,85.4,70.6%,1.74,-,0.11,81.8,1.33,28.8%,1.09,1.66,86.4,87/100,s1mple,20.2%,37/100,0m 59s,45750,0.03,2.5,12.4%,1727,0.10,,87/100,13.5%
0.54,0.77,0.54,85/100,77.3%,83/100,78.3,28.9%,0.05,19.4%,Spirit,24.6%,0.11,0.34,https://www.hltv.org/stats/players/16920/sh1ro,0.07,0.07,0.77,,1.22,59.5%,23994,48.8%,1.25,17.4%,16664,15/100,0.04,23 years,25.8%,8.9%,0.09,60/100,0.65,1.20,23.7%,0.86,76.3%,0.72,10.0%,0.08,0.10,0.10,0.18,103,0.07,2.26,,Dmitry Sokolov,78.3,74.2%,2.75,1.33,0.11,74.4,1.44,46.7%,0.92,2.06,91.6,93/100,sh1ro,13.1%,66/100,1m 19s,31066,0.04,3.9,17.8%,1189,0.13,1.25,60/100,17.8%
0.67,0.84,0.67,98/100,73.8%,37/100,88.3,60.6%,0.13,12.4%,Spirit,0.9%,0.15,0.01,https://www.hltv.org/stats/players/21167/donk,0.13,0.003,0.84,,1.28,51.4%,9768,51.9%,1.27,21.6%,7789,63/100,0.01,17 years,24.2%,2.6%,0.12,70/100,0.55,1.38,27.0%,0.43,74.1%,0.82,18.1%,0.11,0.16,0.13,0.20,104,0.01,1.69,,Danil Kryshkovets,88.3,75.0%,2.78,1.42,0.14,86.6,1.25,1.5%,1.14,2.62,114.8,1/100,donk,27.2%,28/100,1m 6s,11601,0.0002,3.6,6.9%,468,0.18,1.27,86/100,22.9%
0.59,0.79,0.59,89/100,73.2%,73/100,79.8,38.3%,0.05,16.3%,Aurora,16.5%,0.12,0.23,https://www.hltv.org/stats/players/20113/deko,0.07,0.05,0.79,,1.17,56.3%,18625,49.2%,1.22,18.1%,13886,17/100,0.03,23 years,23.9%,5.9%,0.10,51/100,0.66,1.18,24.5%,0.77,74.7%,0.72,7.7%,0.08,0.12,0.10,0.17,103,0.06,2.27,,Denis Zhukov,79.8,68.6%,2.69,1.23,0.11,75.5,1.34,31.5%,0.96,2.14,95.8,91/100,deko,12.9%,58/100,1m 20s,23640,0.03,4.1,17.1%,927,0.12,1.22,54/100,18.4%
0.59,0.78,0.59,88/100,76.0%,62/100,79.3,39.3%,0.08,16.2%,G2,21.6%,0.10,0.30,https://www.hltv.org/stats/players/19230/m0nesy,0.11,0.06,0.78,,1.19,56.2%,11514,48.6%,1.23,17.8%,8746,26/100,0.03,19 years,23.3%,3.2%,0.11,48/100,0.54,1.26,24.4%,0.88,74.3%,0.72,16.1%,0.09,0.12,0.09,0.16,103,0.08,2.33,,Ilya Osipov,79.3,68.6%,2.40,1.30,0.11,74.8,1.32,41.3%,0.96,1.93,96.6,92/100,m0NESY,19.8%,57/100,1m 14s,14743,0.05,2.8,13.3%,588,0.13,1.23,82/100,19.5%
0.62,0.79,0.62,90/100,76.0%,68/100,79.6,28.3%,0.09,14.6%,Into the Breach,22.8%,0.10,0.33,https://www.hltv.org/stats/players/11271/smooya,0.10,0.07,0.79,,1.19,54.0%,22842,48.9%,1.21,18.9%,17975,18/100,0.03,25 years,22.6%,3.4%,0.09,43/100,0.54,1.27,24.5%,0.79,72.3%,0.74,18.0%,0.08,0.12,0.09,0.16,101,0.06,2.29,,Owen Butterfield,79.6,66.7%,1.87,1.28,0.10,75.7,1.27,44.3%,1.01,2.01,99.8,93/100,smooya,20.0%,51/100,1m 7s,28960,0.05,2.6,16.4%,1117,0.13,1.21,83/100,18.1%
0.58,0.77,0.58,82/100,75.8%,73/100,76.9,36.9%,0.06,17.2%,Natus Vincere,16.5%,0.10,0.23,https://www.hltv.org/stats/players/20127/w0nderful,0.08,0.04,0.77,,1.19,57.3%,10496,49.8%,1.20,17.6%,7894,28/100,0.03,19 years,26.0%,6.1%,0.11,66/100,0.53,1.14,26.0%,0.78,75.1%,0.72,13.8%,0.09,0.12,0.10,0.18,101,0.05,2.23,,Ihor Zhdanov,76.9,69.6%,2.59,1.35,0.12,74.3,1.33,31.3%,0.93,2.16,92.9,91/100,w0nderful,14.8%,48/100,1m 16s,13686,0.03,3.3,16.2%,539,0.15,1.20,54/100,19.4%
0.60,0.77,0.60,85/100,75.4%,65/100,77.9,34.8%,0.07,16.2%,HEROIC,20.7%,0.09,0.29,https://www.hltv.org/stats/players/17306/degster,0.09,0.06,0.77,,1.17,56.2%,18220,48.4%,1.20,17.9%,14140,12/100,0.03,23 years,23.8%,5.9%,0.09,45/100,0.64,1.21,23.7%,0.67,72.8%,0.72,15.5%,0.08,0.11,0.08,0.17,102,0.06,2.38,,Abdul Gasanov,77.9,66.9%,1.78,1.30,0.10,74.1,1.29,39.6%,0.96,1.87,95.9,93/100,degster,17.2%,42/100,1m 7s,23592,0.05,2.8,16.2%,890,0.12,1.20,77/100,17.0%
0.64,0.79,0.64,95/100,76.0%,62/100,85.9,56.4%,0.09,14.6%,TALON,0.7%,0.17,0.01,https://www.hltv.org/stats/players/18214/nettik,0.10,0.002,0.79,,1.27,52.4%,9605,50.2%,1.23,20.2%,7741,56/100,0.03,21 years,23.8%,2.5%,0.13,70/100,1.00,1.28,26.0%,0.63,74.0%,0.77,20.6%,0.11,0.15,0.15,0.18,107,0.03,1.94,,Corey Browne,85.9,67.5%,5.44,1.38,0.14,83.9,1.24,1.2%,1.05,2.91,107.7,1/100,nettik,20.9%,77/100,1m 6s,12181,0.0008,7.1,11.0%,499,0.16,1.23,61/100,23.1%
