country,name,player_url,team,maps,rounds,kd_diff,kd,rating
France,ZywOo,https://www.hltv.org/stats/players/11893/zywoo,Vitality,1334,34629,+8125,1.39,1.27
Ukraine,s1mple,https://www.hltv.org/stats/players/7998/s1mple,Natus Vincere,1727,45750,+9669,1.33,1.24
Russia,sh1ro,https://www.hltv.org/stats/players/16920/sh1ro,Gambit Youngsters,1187,31021,+7312,1.44,1.22
Russia,donk,https://www.hltv.org/stats/players/21167/donk,Spirit,466,11556,+1967,1.25,1.22
Russia,deko,https://www.hltv.org/stats/players/20113/deko,Aurora,927,23640,+4739,1.34,1.19
Russia,m0NESY,https://www.hltv.org/stats/players/19230/m0nesy,G2,588,14743,+2768,1.32,1.19
United Kingdom,smooya,https://www.hltv.org/stats/players/11271/smooya,Into the Breach,1114,28896,+4860,1.27,1.18
Ukraine,w0nderful,https://www.hltv.org/stats/players/20127/w0nderful,Natus Vincere,539,13686,+2602,1.33,1.17
Russia,degster,https://www.hltv.org/stats/players/17306/degster,Espada,887,23529,+4086,1.29,1.17
New Zealand,nettik,https://www.hltv.org/stats/players/18214/nettik,Rooster,499,12181,+1864,1.24,1.17
New Zealand,sterling,https://www.hltv.org/stats/players/12591/sterling,AVANT,967,24789,+4347,1.29,1.16
Turkey,XANTARES,https://www.hltv.org/stats/players/7938/xantares,Eternal Fire,2171,56736,+7601,1.20,1.16
Malaysia,kaze,https://www.hltv.org/stats/players/8950/kaze,Rare Atom,1147,29258,+4983,1.29,1.16
Ukraine,SENSEi,https://www.hltv.org/stats/players/18227/sensei,CR4ZY,623,16671,+3187,1.35,1.16
China,DANK1NG,https://www.hltv.org/stats/players/16207/dank1ng,TYLOO,457,12106,+1897,1.25,1.16
Denmark,device,https://www.hltv.org/stats/players/7592/device,Astralis,2076,53670,+8286,1.25,1.16
Denmark,blameF,https://www.hltv.org/stats/players/15165/blamef,Complexity,1243,32689,+5240,1.27,1.16
Argentina,try,https://www.hltv.org/stats/players/19869/try,9z,551,14406,+2322,1.27,1.15
Bosnia and Herzegovina,NiKo,https://www.hltv.org/stats/players/3741/niko,G2,1953,51166,+6481,1.19,1.15
Romania,regali,https://www.hltv.org/stats/players/20123/regali,Copenhagen Flames,456,12302,+1822,1.24,1.15
Singapore,Benkai,https://www.hltv.org/stats/players/8944/benkai,BOOT-d[S],603,15560,+2046,1.20,1.14
Russia,ArtFr0st,https://www.hltv.org/stats/players/21348/artfr0st,PARIVISION,515,12667,+2209,1.32,1.14
Indonesia,BnTeT,https://www.hltv.org/stats/players/7131/bntet,TYLOO,1129,29312,+3855,1.21,1.14
China,JamYoung,https://www.hltv.org/stats/players/19645/jamyoung,TYLOO,638,16006,+2092,1.21,1.14
Brazil,KSCERATO,https://www.hltv.org/stats/players/15631/kscerato,FURIA,1231,31360,+4705,1.26,1.14
Hungary,torzsi,https://www.hltv.org/stats/players/18072/torzsi,MOUZ,792,20288,+2866,1.23,1.13
Brazil,saffee,https://www.hltv.org/stats/players/18835/saffee,MIBR,776,19453,+2691,1.23,1.13
Australia,Texta,https://www.hltv.org/stats/players/11847/texta,Chiefs,653,16324,+1784,1.16,1.13
Ukraine,Woro2k,https://www.hltv.org/stats/players/16885/woro2k,Monte,902,23282,+3118,1.21,1.13
Poland,mhL,https://www.hltv.org/stats/players/16847/mhl,AGO,853,22634,+2942,1.21,1.13
Russia,Jame,https://www.hltv.org/stats/players/13776/jame,Virtus.pro,1530,39717,+6523,1.30,1.13
Korea,XigN,https://www.hltv.org/stats/players/9172/xign,MVP PK,859,22116,+2514,1.17,1.12
Slovakia,frozen,https://www.hltv.org/stats/players/9960/frozen,MOUZ,1551,39853,+4671,1.18,1.12
Brazil,coldzera,https://www.hltv.org/stats/players/9216/coldzera,SK,1810,46558,+6053,1.21,1.12
Czech Republic,oskar,https://www.hltv.org/stats/players/798/oskar,SINNERS,2110,54251,+6722,1.20,1.12
Finland,Jimpphat,https://www.hltv.org/stats/players/18850/jimpphat,MOUZ,564,14374,+1810,1.21,1.12
Australia,INS,https://www.hltv.org/stats/players/11140/ins,Renegades,1229,30516,+3382,1.17,1.12
Russia,liTTle,https://www.hltv.org/stats/players/1088/little,FORZE,458,12159,+1550,1.20,1.12
France,kennyS,https://www.hltv.org/stats/players/7167/kennys,G2,1991,52684,+6521,1.20,1.12
Uruguay,dgt,https://www.hltv.org/stats/players/14736/dgt,9z,804,20406,+2714,1.22,1.12
Bulgaria,h4rn,https://www.hltv.org/stats/players/20097/h4rn,FATE,928,24598,+3417,1.23,1.12
Estonia,ropz,https://www.hltv.org/stats/players/11816/ropz,FaZe,1508,39242,+4926,1.20,1.12
Finland,Jamppi,https://www.hltv.org/stats/players/14087/jamppi,SJ,503,13449,+1408,1.16,1.12
Russia,El1an,https://www.hltv.org/stats/players/13281/el1an,Winstrike,1470,39066,+4995,1.21,1.12
Brazil,zevy,https://www.hltv.org/stats/players/19692/zevy,Fluxo,725,18041,+2258,1.20,1.12
United States,wrath,https://www.hltv.org/stats/players/9884/wrath,New Identity,525,13568,+1239,1.13,1.12
United States,junior,https://www.hltv.org/stats/players/14494/junior,Nouns,867,21598,+3048,1.24,1.12
Spain,SunPayus,https://www.hltv.org/stats/players/19164/sunpayus,Falcons,673,17239,+2266,1.22,1.11
Hong Kong,Freeman,https://www.hltv.org/stats/players/10774/freeman,ViCi,852,21767,+2366,1.17,1.11
Ukraine,headtr1ck,https://www.hltv.org/stats/players/19592/headtr1ck,B8,526,12870,+1689,1.22,1.11
New Zealand,Sico,https://www.hltv.org/stats/players/9102/sico,Grayhound,1048,26546,+3585,1.23,1.11
Poland,mantuu,https://www.hltv.org/stats/players/10981/mantuu,9INE,970,25080,+3065,1.20,1.11
Thailand,PTC,https://www.hltv.org/stats/players/13238/ptc,Lucid Dream,476,12393,+1408,1.18,1.11
Mongolia,sk0R,https://www.hltv.org/stats/players/18638/sk0r,IHC,493,13119,+1282,1.14,1.11
Turkey,woxic,https://www.hltv.org/stats/players/8574/woxic,Eternal Fire,1484,38403,+4661,1.20,1.11
Sweden,nawwk,https://www.hltv.org/stats/players/13670/nawwk,Apeks,1460,38060,+5093,1.23,1.11
Slovakia,GuardiaN,https://www.hltv.org/stats/players/2757/guardian,Natus Vincere,1604,42016,+4799,1.18,1.11
Bosnia and Herzegovina,huNter-,https://www.hltv.org/stats/players/3972/hunter,G2,1795,46676,+4580,1.15,1.11
Singapore,splashske,https://www.hltv.org/stats/players/8943/splashske,BOOT-d[S],733,18884,+1775,1.14,1.11
Romania,XELLOW,https://www.hltv.org/stats/players/9626/xellow,Nexus,1617,41790,+4219,1.15,1.11
Ukraine,r1nkle,https://www.hltv.org/stats/players/20425/r1nkle,Ninjas in Pyjamas,556,13957,+1525,1.17,1.11
Canada,Twistzz,https://www.hltv.org/stats/players/10394/twistzz,Liquid,1764,45657,+4848,1.17,1.11
Sweden,FREDDyFROG,https://www.hltv.org/stats/players/9277/freddyfrog,Chaos,1208,32176,+3606,1.18,1.11
Bulgaria,dream3r,https://www.hltv.org/stats/players/8412/dream3r,E-frag.net,1429,37499,+4501,1.20,1.11
Czech Republic,forsyy,https://www.hltv.org/stats/players/19069/forsyy,ECLOT,794,19911,+2450,1.21,1.11
Brazil,decenty,https://www.hltv.org/stats/players/20183/decenty,Imperial,564,13601,+1527,1.18,1.10
Brazil,HEN1,https://www.hltv.org/stats/players/8565/hen1,Immortals,1614,40765,+5545,1.24,1.10
Brazil,nqz,https://www.hltv.org/stats/players/19694/nqz,paiN,657,15946,+2122,1.23,1.10
Russia,xsepower,https://www.hltv.org/stats/players/12733/xsepower,FORZE,1399,37464,+4862,1.22,1.10
Sweden,f0rest,https://www.hltv.org/stats/players/29/f0rest,Ninjas in Pyjamas,2112,54926,+5648,1.16,1.10
Russia,zorte,https://www.hltv.org/stats/players/15662/zorte,BetBoom,1275,32910,+3991,1.20,1.10
Thailand,Olivia,https://www.hltv.org/stats/players/10664/olivia,Beyond,639,16294,+1549,1.14,1.10
Denmark,mertz,https://www.hltv.org/stats/players/9895/mertz,North Academy,990,26255,+2655,1.16,1.10
Canada,WARDELL,https://www.hltv.org/stats/players/11264/wardell,Ghost,609,15901,+1648,1.17,1.10
Mongolia,erkaSt,https://www.hltv.org/stats/players/11141/erkast,Grayhound,964,25074,+2329,1.14,1.10
Brazil,yuurih,https://www.hltv.org/stats/players/12553/yuurih,FURIA,1324,33857,+3517,1.16,1.10
Brazil,kNgV-,https://www.hltv.org/stats/players/5736/kngv,O PLANO,1036,27069,+2658,1.15,1.10
